,Player,Salary,Salary(*),Salary(%)
430,Cristiano Felicio,874636,929523,0.9290504870250577
431,Jordan McRae,874636,929523,0.9290504870250577
432,Salah Mejri,874636,929523,0.9290504870250577
433,Darrun Hilliard,874636,929523,0.9290504870250577
434,Josh Richardson,874636,929523,0.9290504870250577
435,TJ McConnell,874636,929523,0.9290504870250577
436,Alan Williams,874636,929523,0.9290504870250577
437,Pat Connaughton,874636,929523,0.9290504870250577
438,Jonathon Simmons,874636,929523,0.9290504870250577
439,Norman Powell,874636,929523,0.9290504870250577
440,Paul Zipser,750000,797065,0.7966603996048564
441,Spencer Dinwiddie,726672,772274,0.771881074535547
442,Ryan Kelly,713305,758068,0.7576824617868562
443,Jonathan Gibson,671346,713476,0.7131130301774959
444,Joel Anthony,663810,705467,0.7051081864822663
445,Troy Williams,652165,693091,0.6927387060110684
446,AJ Hammons,650000,690790,0.6904390129908755
447,Michael Gbinije,650000,690790,0.6904390129908755
448,Georges Niang,650000,690790,0.6904390129908755
449,Briante Weber,623447,662570,0.6622340482032653
450,Donatas Motiejunas,607491,645613,0.6452853637551385
451,Jake Layman,600000,637652,0.6373283196838851
452,Joel Bolomboy,600000,637652,0.6373283196838851
453,John Lucas,580344,616763,0.6164494439310411
454,Gary Payton II,578636,614947,0.6146351826476742
455,Toney Douglas,564868,600316,0.6000106221386614
456,Treveon Graham,543471,577576,0.577282432044868
457,Kay Felder,543471,577576,0.577282432044868
458,Nicolas Brussino,543471,577576,0.577282432044868
459,Dorian Finney-Smith,543471,577576,0.577282432044868
460,Patrick McCaw,543471,577576,0.577282432044868
461,Kyle Wiltjer,543471,577576,0.577282432044868
462,Chinanu Onuaku,543471,577576,0.577282432044868
463,Diamond Stone,543471,577576,0.577282432044868
464,Rodney McGruder,543471,577576,0.577282432044868
465,Cheick Diallo,543471,577576,0.577282432044868
466,Ron Baker,543471,577576,0.577282432044868
467,Marshall Plumlee,543471,577576,0.577282432044868
468,Maurice Ndour,543471,577576,0.577282432044868
469,Semaj Christon,543471,577576,0.577282432044868
470,Derrick Jones,543471,577576,0.577282432044868
471,Tim Quarterman,543471,577576,0.577282432044868
472,Davis Bertans,543471,577576,0.577282432044868
473,Bryn Forbes,543471,577576,0.577282432044868
474,Fred VanVleet,543471,577576,0.577282432044868
475,Daniel Ochefu,543471,577576,0.577282432044868
476,Sheldon Mac,543471,577576,0.577282432044868
477,Danuel House,543471,577576,0.577282432044868
478,Chasson Randle,541170,575130,0.5748382779388802
479,Arinze Onuaku,426775,453557,0.4533263227218168
480,Yogi Ferrell,409300,434985,0.4347641354110237
481,Johnny O'Bryant,392169,416779,0.4165673496701826
482,Aaron Harrison,365289,388212,0.38801504094834455
483,Okaro White,310995,330511,0.33034320130014977
484,Isaiah Taylor,305000,324140,0.32397522917264165
485,Norris Cole,288131,306212,0.30605674346472916
486,Ben Bentil,281968,299662,0.29951031940770956
487,Jarell Eddie,277898,295337,0.29518710897252054
488,Elliot Williams,250000,265688,0.26555346653495215
489,Yi Jianlian,250000,265688,0.26555346653495215
490,Lamar Patterson,242963,258210,0.25807866755892633
491,Jordan Crawford,234920,249662,0.24953528143356382
492,Nicolas Laprovittola,204601,217440,0.21733001922607098
493,Reggie Williams,193307,205437,0.20533337582188796
494,Pierre Jackson,191810,203846,0.20374324166427668
495,Brandon Paul,155000,164726,0.16464314925167034
496,Shawn Long,154512,164208,0.1641247888849941
497,Robbie Hummel,150000,159413,0.1593320799209713
498,Jarnell Stokes,150000,159413,0.1593320799209713
499,Mike Tobey,138937,147655,0.1475808079198666
500,Patricio Garino,131968,140249,0.14017823948673824
501,Jarrod Uthoff,129920,138072,0.13800282548888393
502,Marcus Paige,125000,132844,0.13277673326747608
503,Ray McCallum,119493,126991,0.12692712150664415
504,Manny Harris,119493,126991,0.12692712150664415
505,Wayne Selden,115087,122309,0.12224700721243215
506,Egidijus Mockevicius,100000,106275,0.10622138661398085
507,Stefan Jankovic,100000,106275,0.10622138661398085
508,JP Tokoto,100000,106275,0.10622138661398085
509,Isaiah Cousins,100000,106275,0.10622138661398085
510,Quinn Cook,95904,101922,0.10187055861827221
511,Marcus Georges-Hunt,88936,94516,0.09446905239901002
512,Jordan Farmar,82976,88183,0.08813825775681676
513,Prince Ibeh,77250,82097,0.08205602115930022
514,Keith Benson,75000,79706,0.07966603996048564
515,Kaleb Tarczewski,75000,79706,0.07966603996048564
516,Ryan Arcidiacono,75000,79706,0.07966603996048564
517,Henry Sims,75000,79706,0.07966603996048564
518,Quincy Ford,75000,79706,0.07966603996048564
519,Alex Poythress,73743,78370,0.0783308371307479
520,David Nwaba,73528,78142,0.07810246114952785
521,Gary Neal,72193,76723,0.0766844056382312
522,Kyle Collinsworth,70000,74392,0.0743549706297866
523,Thomas Walkup,69500,73861,0.0738238636967167
524,James Webb,65000,69079,0.06904390129908755
525,Zach Auguste,60000,63765,0.06373283196838853
526,Brady Heslip,56500,60045,0.06001508343689919
527,Matt Costello,50000,53137,0.05311069330699043
528,Damion Lee,50000,53137,0.05311069330699043
529,Nate Wolters,50000,53137,0.05311069330699043
530,DJ Kennedy,50000,53137,0.05311069330699043
531,Scott Wood,50000,53137,0.05311069330699043
532,Elgin Cook,50000,53137,0.05311069330699043
533,Julyan Stone,50000,53137,0.05311069330699043
534,Alex Caruso,50000,53137,0.05311069330699043
535,Anthony Barber,50000,53137,0.05311069330699043
536,Dionte Christmas,50000,53137,0.05311069330699043
537,EJ Singler,50000,53137,0.05311069330699043
538,Beau Beech,45000,47823,0.04779962397629139
539,Phil Pressey,35000,37196,0.0371774853148933
540,Nikola Jovanovic,30000,31882,0.03186641598419426
541,Jalen Jones,25000,26568,0.026555346653495213
542,Nick Zeisloft,25000,26568,0.026555346653495213
543,Tony Wroten,25000,26568,0.026555346653495213
544,Dahntay Jones,24022,25529,0.025516501492410484
