,Player,Team,Salary
309,Sebastian Telfair,Minnesota Timberwolves,2700000
310,Jordan Hill,Houston Rockets,2669520
311,Nick Youn,Washington Wizards,2630503
312,Al-Farouq Aminu,LA Clippers,2563320
313,D.J. Augustin,Charlotte Bobcats,2540000
314,Maurice Evans,Washington Wizards,2500000
315,Dahntay Jones,Indiana Pacers,2500000
316,David Andersen,Toronto Raptors,2500000
317,DeMar DeRozan,Toronto Raptors,2453880
318,Brook Lopez,New Jersey Nets,2413320
319,Ricky Davis,LA Clippers,2400000
320,Marquis Daniels,Boston Celtics,2388000
321,Marco Belinelli,New Orleans Hornets,2380270
322,Gordon Haywar,Utah Jazz,2356320
323,Ryan Hollins,Cleveland Cavaliers,2333333
324,Brandon Jenning,Milwaukee Bucks,2331120
325,Ersan Ilyasova,Milwaukee Bucks,2320500
326,Craig Smith,LA Clippers,2300000
327,Jerryd Bayles,Toronto Raptors,2292600
328,Quentin Richardson,Orlando Magic,2265000
329,Paul George,Indiana Pacers,2238360
330,Lou Amundson,Golden State Warriors,2225000
331,Terrence Williams,New Jersey Nets,2214480
332,Anthony Tolliver,Minnesota Timberwolves,2200000
333,Jason Smit,New Orleans Hornets,2187913
334,Jason Thompson,Sacramento Kings,2178000
335,Daequan Cook,Oklahoma City Thunder,2169857
336,Jared Dudley,Phoenix Suns,2151068
337,Shannon Brown,Los Angeles Lakers,2149200
338,Wilson Chandler,New York Knicks,2130482
339,Cole Aldrich,Oklahoma City Thunder,2126520
340,Gerald Henderson,Charlotte Bobcats,2103840
341,Keyon Dooling,Milwaukee Bucks,2080000
342,Ben Wallace,Detroit Pistons,2080000
343,Brandon Rus,Indiana Pacers,2069040
344,Anthony Johnson,Orlando Magic,2062800
345,Brent Barry,Houston Rockets,2062800
346,Xavier Henry,Memphis Grizzlies,2020200
347,Aaron Brook,Phoenix Suns,2016692
348,Tyler Hansbrough,Indiana Pacers,1998600
349,Rasho Nesterovic,Toronto Raptors,1990000
350,Chuck Hayes,Houston Rockets,1972500
351,Goran Dragic,Phoenix Suns,1972000
352,Anthony Randolph,New York Knicks,1965720
353,Arron Afflal,Denver Nuggets,1959577
354,Ed Davis,Toronto Raptors,1919160
355,Earl Clark,Phoenix Suns,1898760
356,Robin Lopez,Phoenix Suns,1867320
357,Patrick Patterson,Houston Rockets,1823280
358,Dikembe Mutombo,Houston Rockets,1823280
359,J.J. Barea,Dallas Mavericks,1815000
360,Austin Daye,Detroit Pistons,1803720
361,Kurt Thomas,Chicago Bulls,1800000
362,Marreese Speight,Philadelphia 76ers,1773960
363,Matt Barnes,Los Angeles Lakers,1765000
364,Larry Sanders,Milwaukee Bucks,1731960
365,Omer Asik,Chicago Bulls,1721000
366,James Johnson,Toronto Raptors,1713600
367,Roy Hibbert,Indiana Pacers,1685280
368,Renaldo Balkman,New York Knicks,1675000
369,Luke Babbit,Portland Trail Blazers,1645440
370,Sean Williams,Boston Celtics,1629120
371,Jrue Holiday,Philadelphia 76ers,1627920
372,JaVale McGee,Washington Wizards,1601040
373,Hamed Haddadi,Memphis Grizzlies,1600000
374,Keith Bogans,Chicago Bulls,1600000
375,Kevin Seraphin,Washington Wizards,1563120
376,Ty Lawso,Denver Nuggets,1546560
377,JJ Hickson,Cleveland Cavaliers,1528920
378,Solomon Jones,Indiana Pacers,1500000
379,Eric Bledsoe,LA Clippers,1485000
380,Jeff Teague,Atlanta Hawks,1476840
