PG%,SG%,SF%,PF%,C%,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Height,Weight,YearsPro,Season
1.0,24.0,67.0,9.0,0.0,33,57,0,15.5,2.2,5.5,0.392,1.2,3.1,0.376,1.0,2.4,0.41200000000000003,0.498,0.8,1.0,0.828,0.1,1.6,1.7,1.2,0.2,0.0,0.3,0.8,6.3,10.8,0.532,0.5670000000000001,0.185,0.9,11.2,6.0,0.6,0.1,5.3,17.5,0.7,0.2,0.8,0.046,-0.7,-2.0,-2.7,-0.2,195.58,99.79024,13,2020
0.0,0.0,0.0,70.0,30.0,25,29,0,8.8,1.2,2.3,0.522,0.1,0.4,0.33299999999999996,1.1,1.9,0.564,0.552,0.7,1.1,0.613,1.0,1.8,2.8,0.6,0.1,0.3,0.7,0.7,3.2,13.9,0.5770000000000001,0.179,0.46299999999999997,12.0,21.8,16.7,0.5,3.2,20.7,16.4,0.2,0.2,0.4,0.07,-1.4,-1.1,-2.5,0.0,203.2,97.975872,3,2020
0.0,0.0,8.0,78.0,14.0,22,16,3,17.9,2.6,5.8,0.446,0.9,2.7,0.349,1.6,3.1,0.531,0.527,0.6,0.9,0.7140000000000001,1.0,3.6,4.6,1.8,0.3,0.6,1.3,2.6,6.7,10.9,0.545,0.467,0.152,5.9,21.1,13.5,0.7,2.8,17.6,17.7,0.0,0.3,0.3,0.052000000000000005,-3.0,0.1,-3.0,-0.1,213.36,112.944408,4,2020
99.0,1.0,0.0,0.0,0.0,31,51,50,26.3,2.9,6.7,0.431,1.6,4.0,0.38799999999999996,1.3,2.6,0.496,0.5479999999999999,0.6,0.9,0.66,1.1,4.1,5.2,3.6,1.1,0.5,1.3,3.1,7.9,12.5,0.56,0.604,0.138,4.5,15.8,10.3,1.9,1.6,15.4,13.3,1.6,2.0,3.6,0.128,-0.3,2.5,2.2,1.4,185.42,81.64656,11,2020
0.0,0.0,0.0,37.0,64.0,27,48,24,19.2,1.5,3.0,0.51,0.0,0.0,0.0,1.5,3.0,0.514,0.51,1.4,2.1,0.653,1.9,2.7,4.6,1.0,0.4,0.5,0.6,1.9,4.4,11.7,0.5660000000000001,0.006999999999999999,0.706,10.3,15.6,12.9,1.1,2.3,14.2,10.2,1.2,0.9,2.2,0.11199999999999999,-2.5,0.2,-2.4,-0.1,205.74,105.68693600000002,3,2020
0.0,0.0,0.0,2.0,98.0,20,54,2,8.7,1.3,2.8,0.467,0.1,0.8,0.19,1.1,2.0,0.574,0.493,0.4,0.6,0.727,0.5,1.5,2.0,0.4,0.2,0.7,0.5,1.2,3.2,12.1,0.523,0.28,0.22,5.9,18.7,12.3,1.0,6.9,14.5,17.9,-0.1,0.8,0.7,0.067,-4.1,1.8,-2.3,0.0,210.82,113.398,1,2020
0.0,0.0,0.0,3.0,97.0,27,53,29,19.4,2.8,5.2,0.5429999999999999,0.0,0.0,0.0,2.8,5.2,0.5429999999999999,0.5429999999999999,1.7,2.8,0.603,2.3,3.5,5.8,0.9,0.2,0.9,0.9,2.2,7.4,16.1,0.57,0.0,0.5429999999999999,12.3,20.7,16.3,0.5,4.4,12.2,16.8,1.5,0.9,2.4,0.113,-1.8,-0.7,-2.5,-0.1,203.2,115.66596,9,2020
0.0,0.0,0.0,81.0,19.0,31,72,67,27.9,4.4,9.1,0.48100000000000004,1.9,4.4,0.419,2.5,4.6,0.541,0.583,1.0,1.2,0.821,1.5,4.8,6.4,2.8,0.9,0.6,1.4,3.0,11.5,15.7,0.602,0.49,0.129,6.1,19.9,12.8,1.5,1.9,12.5,17.0,3.4,1.9,5.3,0.127,1.2,0.5,1.7,1.9,208.28,106.140528,10,2020
90.0,10.0,0.0,0.0,0.0,30,61,61,27.0,5.5,11.5,0.475,1.2,3.5,0.344,4.3,8.0,0.5329999999999999,0.528,2.8,3.5,0.79,0.7,3.9,4.6,5.4,0.9,0.4,2.4,2.1,14.9,17.6,0.5710000000000001,0.306,0.304,2.8,13.5,8.5,1.6,1.4,15.7,23.7,2.4,3.0,5.4,0.157,0.8,1.1,1.8,1.6,185.42,97.068688,10,2020
0.0,0.0,0.0,34.0,66.0,24,7,0,6.7,0.6,1.6,0.364,0.0,0.6,0.0,0.6,1.0,0.5710000000000001,0.364,0.3,0.6,0.5,0.4,0.9,1.3,0.0,0.4,0.3,0.3,1.4,1.4,4.9,0.392,0.364,0.364,7.0,14.3,10.6,3.0,3.7,13.6,13.4,-0.1,0.1,0.0,-0.006,-8.7,-0.1,-8.8,-0.1,203.2,102.0582,3,2020
0.0,0.0,0.0,0.0,100.0,21,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,19.8,0.0,0.0,0.0,0.0,74.7,37.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.282,-5.9,11.3,5.4,0.0,208.28,112.944408,1,2020
97.0,3.0,0.0,0.0,0.0,22,10,0,5.3,0.5,2.0,0.25,0.2,1.0,0.2,0.3,1.0,0.3,0.3,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.1,0.0,0.2,0.6,1.2,0.8,0.3,0.5,0.0,0.0,8.7,4.3,0.9,0.0,9.1,18.1,-0.1,0.0,-0.1,-0.11699999999999999,-9.1,-2.8,-11.9,-0.1,190.5,81.64656,1,2020
0.0,2.0,72.0,25.0,1.0,20,66,49,18.9,1.8,3.5,0.504,0.4,1.1,0.35200000000000004,1.4,2.5,0.5710000000000001,0.5579999999999999,1.0,1.3,0.812,1.1,2.3,3.4,1.2,0.7,0.3,0.9,2.4,5.0,10.2,0.608,0.303,0.363,6.0,13.8,9.7,1.7,1.5,17.6,11.0,1.2,0.6,1.8,0.068,-2.7,-0.1,-2.8,-0.3,203.2,81.64656,2,2020
1.0,86.0,12.0,1.0,0.0,23,70,70,35.9,9.0,18.3,0.489,2.0,5.7,0.354,6.9,12.6,0.5489999999999999,0.544,6.7,7.3,0.919,0.4,3.8,4.2,6.5,0.7,0.3,3.8,3.0,26.6,20.6,0.618,0.31,0.397,1.3,12.0,6.6,0.9,0.6,14.9,30.0,6.0,1.5,7.5,0.14300000000000002,3.4,-1.3,2.2,2.6,195.58,93.439952,5,2020
0.0,0.0,5.0,42.0,53.0,27,62,0,13.2,2.3,4.8,0.47200000000000003,0.6,1.9,0.322,1.7,2.9,0.569,0.535,1.5,1.9,0.784,1.7,2.7,4.5,0.4,0.4,1.0,0.5,1.8,6.6,20.7,0.5870000000000001,0.395,0.38799999999999996,14.1,21.4,17.9,1.3,7.3,7.4,19.7,2.1,1.8,3.8,0.22399999999999998,1.0,1.0,2.0,0.8,205.74,90.7184,3,2020
