,Player,Team,Salary
388,Kawhi Leonard,San Antonio Spurs,56431.68674798429
389,Jeremy Evans,Utah Jazz,55502.127633932876
390,Nikola Vucevic,Orlando Magic,55418.544387016744
391,Donte Greene,Memphis Grizzlies,48620.202732340986
392,Chris Andersen,Miami Heat,48590.9177600441
393,Renaldo Balkman,Dallas Mavericks,48336.176004410445
394,Anthony Randolph,Denver Nuggets,48315.458598321966
395,Royce White,Houston Rockets,46645.17940872441
396,Iman Shumpert,New York Knicks,45967.30469299152
397,Avery Bradley,Boston Celtics,45818.83812280339
398,Reggie Evans,Brooklyn Nets,45360.17381105713
399,Chris Singleton,Washington Wizards,45140.32358900145
400,Sebastian Telfair,Toronto Raptors,42330.92567707256
401,Tyler Zeller,Cleveland Cavaliers,42094.68910481704
402,Jodie Meeks,Los Angeles Lakers,41391.013713734406
403,Tobias Harris,Orlando Magic,41169.1355799049
404,Slava Kravtsov,Detroit Pistons,38763.69650609882
405,John Lucas III,Toronto Raptors,38763.69650609882
406,Greg Oden,Miami Heat,38763.69650609882
407,Jeff Ayres,Indiana Pacers,38763.69650609882
408,Gary Forbes,Brooklyn Nets,38763.69650609882
409,James Jones,Miami Heat,38763.69650609882
410,Gustavo Ayon,Orlando Magic,38763.69650609882
411,Terrence Jones,Houston Rockets,37992.29894562745
412,Andrew Nicholson,Orlando Magic,37838.94976224933
413,Jared Jeffries,Portland Trail Blazers,37487.728468678935
414,Alexis Ajinca,LA Clippers,37119.32784783957
415,Elliot Williams,Portland Trail Blazers,35867.664089311555
416,Tony Snell,Detroit Pistons,34204.97763076287
417,Craig Brackins,Philadelphia 76ers,34007.17734132727
418,Nando De Colo,San Antonio Spurs,33767.486734201644
419,Willie Green,LA Clippers,33743.70896301082
420,Zydrunas Ilgauskas,Miami Heat,33743.70896301082
421,Eddie House,Miami Heat,33743.70896301082
422,Rashard Lewis,Miami Heat,33743.70896301082
423,Nolan Smith,Portland Trail Blazers,32134.089973123835
424,Donatas Motiejunas,Houston Rockets,31931.12052925367
425,Evan Fournier,Denver Nuggets,31931.12052925367
426,Jamaal Tinsley,Utah Jazz,31500.12846738681
427,Kurt Thomas,New York Knicks,31500.12846738681
428,Roko-Leni Ukic,Milwaukee Bucks,31398.594169940046
429,Kenneth Faried,Denver Nuggets,29621.499855282196
430,Jared Sullinger,Boston Celtics,29426.639900764938
431,Hamed Haddadi,Memphis Grizzlies,29115.843153469785
432,Victor Claver,Portland Trail Blazers,29115.843153469785
433,Dominique Jones,Dallas Mavericks,28075.346867893324
434,Reggie Jackson,Oklahoma City Thunder,27367.296009923506
435,Fab Melo,Boston Celtics,27122.911556750052
436,Quincy Pondexter,Memphis Grizzlies,26248.11974364275
437,Sasha Pavlovic,Portland Trail Blazers,26179.81773084212
438,John Jenkins,Atlanta Hawks,24997.670622286543
439,Hasheem Thabeet,Oklahoma City Thunder,24808.765763903244
440,Jordan Crawford,Washington Wizards,24754.21649782923
441,Greivis Vasquez,New Orleans Hornets,24447.879842877817
442,Christian Eyenga,Orlando Magic,23748.601860657433
443,MarShon Brooks,Brooklyn Nets,23184.012156295226
444,Jared Cunningham,Dallas Mavericks,23035.55823857763
445,Reggie Bullock,New York Knicks,22744.83150713252
446,Ronnie Price,Portland Trail Blazers,22639.52376764179
447,Norris Cole,Miami Heat,21967.69071738681
448,Jordan Hamilton,Denver Nuggets,21669.890262559435
449,Jimmy Butler,Chicago Bulls,21337.294025222243
450,Andre Roberson,Oklahoma City Thunder,21259.13971469919
451,Tony Wroten,Memphis Grizzlies,21231.590076493696
452,Stephen Graham,Milwaukee Bucks,21110.164314675076
453,Joey Graham,Cleveland Cavaliers,21110.164314675076
454,JaJuan Johnson,Houston Rockets,20440.42067397147
455,Patty Mills,San Antonio Spurs,20286.08321962649
456,Perry Jones,Oklahoma City Thunder,20188.9868100062
457,Marquis Teague,Chicago Bulls,19899.095141616704
458,Cory Joseph,San Antonio Spurs,19899.095141616704
459,Miles Plumlee,Indiana Pacers,19845.80591275584
460,Alando Tucker,Minnesota Timberwolves,19788.156543311972
461,Von Wafer,Orlando Magic,19706.593292691752
462,Kelenna Azubuike,Cleveland Cavaliers,19706.593292691752
463,Luke Harangody,Cleveland Cavaliers,19153.334768813314
464,DeJuan Blair,San Antonio Spurs,19139.20474123079
465,Arnett Moultrie,Philadelphia 76ers,18717.369278478396
466,Quinton Ross,Brooklyn Nets,18396.314674453864
467,Jawad Williams,Cleveland Cavaliers,18255.835457945694
468,Festus Ezeli,Golden State Warriors,17958.08906346909
469,Kyle Singler,Detroit Pistons,17228.30955826614
470,Jon Brockman,Houston Rockets,17228.30955826614
471,C.J. Watson,Brooklyn Nets,16977.010240507203
472,Brandan Wright,Dallas Mavericks,16977.010240507203
473,Ivan Johnson,Atlanta Hawks,15950.300083126594
474,Daniel Orton,Oklahoma City Thunder,14458.641337623181
475,Jeff Adrien,Charlotte Bobcats,14458.641337623181
476,Ish Smith,Orlando Magic,14296.283948056645
477,Chandler Parsons,Houston Rockets,13592.930578526635
478,Chase Budinger,Minnesota Timberwolves,13497.302294810834
479,Henry Walker,Miami Heat,13497.302294810834
480,DeMarre Carroll,Utah Jazz,13497.302294810834
481,Alexander Johnson,Miami Heat,13497.302294810834
482,Pops Mensah-Bonsu,Denver Nuggets,13497.302294810834
483,Salim Stoudamire,Atlanta Hawks,13490.014198900835
484,Ryan Hollins,LA Clippers,13472.092031028185
485,Nazr Mohammed,Chicago Bulls,13472.092031028185
486,Malcolm Thomas,Golden State Warriors,13472.092031028185
487,Malcolm Lee,Minnesota Timberwolves,13472.092031028185
488,Garrett Temple,Washington Wizards,13472.092031028185
489,DeAndre Liggins,Oklahoma City Thunder,13472.092031028185
490,P.J. Tucker,Phoenix Suns,13472.092031028185
491,E'Twaun Moore,Orlando Magic,13472.092031028185
492,Patrick Ewing Jr.,New Orleans Pelicans,13472.092031028185
493,Lance Stephenson,Indiana Pacers,13040.107504651643
494,Quincy Douby,Sacramento Kings,12599.893627610089
495,Marcus Haislip,San Antonio Spurs,12599.893627610089
496,Mouhamed Sene,New York Knicks,12599.893627610089
497,Anthony Roberson,Chicago Bulls,12599.893627610089
498,Javaris Crittenton,Washington Wizards,12576.331116411688
499,Darius Miles,Memphis Grizzlies,12576.331116411688
500,Kyle Weaver,Memphis Grizzlies,12576.331116411688
501,Anthony Tolliver,Atlanta Hawks,12576.331116411688
502,Luke Jackson,Miami Heat,12576.331116411688
503,Josh Davis,Memphis Grizzlies,12576.331116411688
504,Kenny Thomas,Sacramento Kings,12576.331116411688
505,Jamaal Magloire,Toronto Raptors,12576.331116411688
506,Melvin Ely,Washington Wizards,12576.331116411688
507,Maurice Evans,Washington Wizards,12576.331116411688
508,Trey Gilder,Utah Jazz,12576.331116411688
509,Mike Harris,Utah Jazz,12576.331116411688
510,Dwayne Jones II,Utah Jazz,12576.331116411688
511,Royal Ivey,Philadelphia 76ers,12576.331116411688
512,Derrick Brown,San Antonio Spurs,12576.331116411688
513,Malik Hairston,San Antonio Spurs,12576.331116411688
514,Darryl Watkins,New Orleans Pelicans,12576.331116411688
515,Trey Johnson,Sacramento Kings,12576.331116411688
516,Antoine Wright,Sacramento Kings,12576.331116411688
517,Sean May,Sacramento Kings,12576.331116411688
518,Luther Head,Sacramento Kings,12576.331116411688
519,Roger Mason Jr.,New Orleans Hornets,12576.331116411688
520,Hassan Whiteside,Portland Trail Blazers,12576.331116411688
521,Coby Karl,Denver Nuggets,12576.331116411688
522,Craig Smith,Portland Trail Blazers,12576.331116411688
523,Fabricio Oberto,Portland Trail Blazers,12576.331116411688
524,A.J. Price,Washington Wizards,12576.331116411688
525,Leandro Barbosa,Washington Wizards,12576.331116411688
526,Sonny Weems,Philadelphia 76ers,12576.331116411688
527,Keith Bogans,Brooklyn Nets,12576.331116411688
528,Francisco Elson,Philadelphia 76ers,12576.331116411688
529,Tony Battie,Philadelphia 76ers,12576.331116411688
530,Larry Hughes,Orlando Magic,12576.331116411688
531,Malik Allen,Orlando Magic,12576.331116411688
532,James White,New York Knicks,12576.331116411688
533,Didier Ilunga-Mbenga,New York Knicks,12576.331116411688
534,Rasheed Wallace,New York Knicks,12576.331116411688
535,Baron Davis,New York Knicks,12576.331116411688
536,Mike Bibby,Memphis Grizzlies,12576.331116411688
537,Andray Blatche,Brooklyn Nets,12576.331116411688
538,Jason Collins,Washington Wizards,12576.331116411688
539,Jerry Stackhouse,Brooklyn Nets,12576.331116411688
540,Marko Jaric,Brooklyn Nets,12576.331116411688
541,Kyrylo Fesenko,Minnesota Timberwolves,12576.331116411688
542,Shelden Williams,Brooklyn Nets,12576.331116411688
543,Maurice Ager,Minnesota Timberwolves,12576.331116411688
544,Rasual Butler,Minnesota Timberwolves,12576.331116411688
545,Marquis Daniels,Milwaukee Bucks,12576.331116411688
546,Josh Powell,Milwaukee Bucks,12576.331116411688
547,Joel Przybilla,Milwaukee Bucks,12576.331116411688
548,Dan Gadzuric,Los Angeles Lakers,12576.331116411688
549,Joe Smith,Los Angeles Lakers,12576.331116411688
550,Theo Ratliff,Los Angeles Lakers,12576.331116411688
551,Alan Anderson,Toronto Raptors,12576.331116411688
552,Sundiata Gaines,Indiana Pacers,12576.331116411688
553,Darnell Jackson,Indiana Pacers,12576.331116411688
554,Blake Ahearn,Indiana Pacers,12576.331116411688
555,Damien Wilkins,Philadelphia 76ers,12576.331116411688
556,Joe Alexander,Golden State Warriors,12576.331116411688
557,Jason Kapono,Golden State Warriors,12576.331116411688
558,T.J. Ford,Golden State Warriors,12576.331116411688
559,Jermaine O'Neal,Phoenix Suns,12576.331116411688
560,Jonny Flynn,Portland Trail Blazers,12576.331116411688
561,Cartier Martin,Washington Wizards,12576.331116411688
562,Brian Cook,Detroit Pistons,12576.331116411688
563,Joey Dorsey,Barcelona FC Barcelona,12576.331116411688
564,Josh Childress,Brooklyn Nets,12576.331116411688
565,Anthony Carter,Denver Nuggets,12576.331116411688
566,Delonte West,Dallas Mavericks,12576.331116411688
567,Eddy Curry,Dallas Mavericks,12576.331116411688
568,Tim Thomas,Dallas Mavericks,12576.331116411688
569,Brian Cardinal,Dallas Mavericks,12576.331116411688
570,Samardo Samuels,Cleveland Cavaliers,12576.331116411688
571,Chris Richard,Chicago Bulls,12576.331116411688
572,Ronnie Brewer,Oklahoma City Thunder,12576.331116411688
573,Brian Scalabrine,Chicago Bulls,12576.331116411688
574,Vladimir Radmanovic,Chicago Bulls,12576.331116411688
575,D.J. Strawberry,Phoenix Suns,12576.331116411688
