PG%,SG%,SF%,PF%,C%,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Height,Weight,YearsPro,Season
0.0,0.0,18.0,78.0,3.0,28,67,67,37.0,10.0,22.2,0.449,2.3,6.2,0.379,7.6,16.0,0.47600000000000003,0.502,6.3,7.6,0.83,2.0,4.9,6.9,2.6,0.8,0.5,2.6,3.1,28.7,24.8,0.56,0.278,0.344,6.1,15.9,10.8,1.1,1.1,9.3,35.6,7.5,2.0,9.5,0.184,6.0,-1.7,4.3,3.9,203.2,104.32616,10,2013
0.0,0.0,0.0,15.0,86.0,25,77,3,17.3,2.5,4.9,0.515,0.3,1.0,0.284,2.2,3.9,0.5710000000000001,0.542,1.4,1.8,0.759,1.2,2.8,4.0,0.6,0.8,0.5,0.4,1.8,6.7,17.6,0.588,0.196,0.374,7.7,19.5,13.3,2.4,2.6,7.2,16.7,2.7,1.9,4.6,0.165,-0.1,1.1,1.0,1.0,210.82,108.86208,3,2017
100.0,0.0,0.0,0.0,0.0,26,79,79,34.7,8.1,18.3,0.444,3.0,7.6,0.39899999999999997,5.1,10.7,0.47600000000000003,0.527,3.8,4.5,0.847,0.6,3.3,3.9,5.5,1.1,0.3,2.1,1.5,23.2,21.3,0.569,0.415,0.248,1.8,10.6,6.2,1.6,0.7,9.5,29.2,5.9,2.2,8.1,0.142,4.9,-0.8,4.1,4.2,185.42,83.46092800000002,6,2017
0.0,92.0,8.0,0.0,0.0,23,79,63,26.2,3.4,8.6,0.397,1.3,3.7,0.35600000000000004,2.1,5.0,0.42700000000000005,0.473,0.8,1.2,0.696,0.6,2.4,3.0,1.9,0.7,0.7,1.2,2.1,9.0,10.2,0.491,0.424,0.135,2.7,10.4,6.4,1.4,2.0,11.6,16.8,0.4,0.9,1.3,0.03,-1.3,-0.4,-1.7,0.2,200.66,92.98636,1,2011
56.0,44.0,1.0,0.0,0.0,29,59,0,18.3,2.5,5.6,0.44,0.3,1.0,0.28800000000000003,2.2,4.6,0.473,0.465,0.7,0.9,0.7090000000000001,0.4,1.3,1.7,3.8,0.6,0.0,1.3,1.2,5.9,13.1,0.488,0.17800000000000002,0.166,2.6,8.0,5.2,1.8,0.1,17.8,17.7,0.8,0.6,1.4,0.061,-0.9,-1.2,-2.1,0.0,190.5,92.079176,8,2012
0.0,1.0,94.0,5.0,0.0,29,81,58,25.9,3.3,6.9,0.48700000000000004,0.8,2.6,0.319,2.5,4.3,0.586,0.546,1.3,1.8,0.74,1.3,4.2,5.5,1.7,0.7,0.4,1.4,2.3,8.8,13.6,0.5760000000000001,0.37200000000000005,0.262,6.1,18.0,12.3,1.5,1.1,15.3,16.2,2.5,3.4,5.9,0.135,-0.1,1.3,1.3,1.7,200.66,102.511792,8,2010
0.0,25.0,68.0,6.0,0.0,26,72,49,26.3,4.1,9.3,0.435,1.2,3.3,0.35600000000000004,2.9,6.0,0.478,0.498,1.9,2.2,0.884,0.3,1.8,2.2,1.8,0.8,0.2,0.8,2.0,11.2,12.3,0.545,0.35200000000000004,0.231,1.4,7.9,4.6,1.5,0.5,6.9,18.1,2.1,0.5,2.6,0.065,-1.2,-0.8,-2.0,0.0,203.2,93.439952,5,2019
7.0,89.0,4.0,0.0,0.0,28,52,18,14.1,1.3,3.3,0.4,0.6,1.7,0.375,0.7,1.6,0.42700000000000005,0.49700000000000005,0.7,0.9,0.7290000000000001,0.5,1.3,1.7,1.1,0.8,0.2,0.7,1.5,3.9,10.9,0.534,0.518,0.282,3.8,9.9,6.9,2.9,1.0,15.1,13.9,0.4,1.1,1.5,0.1,-2.0,2.6,0.6,0.5,198.12,88.45044,3,2015
0.0,0.0,0.0,94.0,6.0,27,75,34,25.9,4.1,8.6,0.48,0.7,2.2,0.293,3.5,6.4,0.545,0.518,1.3,1.5,0.867,1.4,4.0,5.4,1.5,0.4,0.3,0.9,1.9,10.2,14.2,0.551,0.259,0.175,5.5,17.5,11.3,0.8,1.1,8.7,17.3,2.5,2.0,4.5,0.11199999999999999,-0.4,0.3,-0.1,1.0,208.28,103.418976,6,2017
77.0,23.0,0.0,0.0,0.0,23,78,43,29.2,4.5,9.5,0.478,1.0,2.4,0.39899999999999997,3.6,7.1,0.505,0.529,2.3,3.0,0.772,0.5,2.1,2.6,2.9,0.9,0.3,1.3,2.8,12.4,14.7,0.5720000000000001,0.255,0.321,2.2,8.2,5.3,1.6,0.8,10.7,19.0,4.1,2.6,6.7,0.142,0.0,0.9,0.9,1.7,187.96,81.64656,2,2010
0.0,0.0,0.0,0.0,100.0,28,62,46,24.9,4.0,7.7,0.524,0.8,2.3,0.355,3.2,5.4,0.595,0.5770000000000001,1.1,1.4,0.779,1.6,6.3,7.9,1.5,0.6,0.8,1.4,2.6,10.0,15.8,0.599,0.29600000000000004,0.18,7.2,28.1,17.7,1.3,2.8,14.3,17.0,1.8,1.9,3.7,0.114,-0.4,0.5,0.1,0.8,213.36,111.13004,5,2018
0.0,81.0,19.0,0.0,0.0,28,64,18,13.8,0.7,2.5,0.282,0.3,1.4,0.218,0.4,1.2,0.355,0.34,0.4,0.5,0.7140000000000001,0.2,1.3,1.4,0.9,0.3,0.1,0.5,1.2,2.1,3.3,0.381,0.534,0.215,1.4,10.5,5.9,0.9,0.5,14.4,10.7,-0.9,0.5,-0.4,-0.022000000000000002,-5.2,-0.4,-5.6,-0.8,195.58,98.883056,10,2010
0.0,0.0,0.0,5.0,95.0,37,70,9,15.0,1.4,3.0,0.47600000000000003,0.0,0.0,0.0,1.4,3.0,0.47600000000000003,0.47600000000000003,0.2,0.2,0.8,1.2,3.0,4.2,0.7,0.4,0.7,0.7,2.3,3.0,9.9,0.489,0.0,0.07200000000000001,8.7,23.5,15.8,1.3,3.4,18.3,11.3,0.0,2.0,2.1,0.095,-4.4,2.1,-2.2,-0.1,205.74,104.32616,15,2010
0.0,0.0,0.0,49.0,51.0,20,62,4,17.8,3.0,7.0,0.42700000000000005,0.3,0.8,0.308,2.7,6.2,0.44299999999999995,0.445,0.8,1.1,0.727,2.0,3.5,5.4,0.8,0.4,0.4,0.9,1.6,7.0,13.8,0.469,0.11900000000000001,0.151,12.0,20.0,16.1,1.1,1.5,10.4,20.7,0.3,1.3,1.5,0.066,-1.5,-1.8,-3.3,-0.4,210.82,104.32616,1,2016
