,Unnamed: 0,Player,Height,Weight,College,USA,YearsPro,DraftRound,DraftNum,Season
78,78,Cory Joseph,190.5,87.543256,1,0,8,1,29,2019
79,79,Courtney Lee,195.58,97.52228000000001,1,1,11,1,22,2019
80,80,Cristiano Felicio,208.28,120.20188,0,0,4,Undrafted,Undrafted,2019
81,81,DAngelo Russell,195.58,89.811216,1,1,4,1,2,2019
82,82,DJ Augustin,182.88,83.007336,1,1,11,1,9,2019
83,83,DJ Wilson,208.28,104.779752,1,1,2,1,17,2019
84,84,DJ Stephens,195.58,85.275296,1,1,1,Undrafted,Undrafted,2019
85,85,Dairis Bertans,193.04,90.7184,0,0,1,Undrafted,Undrafted,2019
86,86,Damian Jones,213.36,111.13004,1,1,3,1,30,2019
87,87,Damian Lillard,190.5,88.45044,1,1,7,1,6,2019
88,88,Damion Lee,198.12,95.25432,1,1,2,Undrafted,Undrafted,2019
89,89,Damyean Dotson,198.12,95.25432,1,1,2,2,44,2019
90,90,Daniel Hamilton,200.66,88.45044,1,1,3,2,56,2019
91,91,Daniel Theis,203.2,110.22285600000001,0,0,2,Undrafted,Undrafted,2019
92,92,Danilo Gallinari,208.28,102.0582,0,0,11,1,6,2019
93,93,Danny Green,198.12,97.52228000000001,1,1,10,2,46,2019
94,94,Dante Cunningham,203.2,104.32616,1,1,10,2,33,2019
95,95,Dante Exum,198.12,86.18248,0,0,5,1,5,2019
96,96,Danuel House,200.66,99.79024,1,1,2,Undrafted,Undrafted,2019
97,97,Dario Saric,208.28,101.151016,0,0,5,1,12,2019
98,98,Darius Miller,203.2,102.0582,1,1,7,2,46,2019
99,99,Darren Collison,182.88,79.3786,1,1,10,1,21,2019
100,100,Daryl Macon,190.5,83.91452,1,1,1,Undrafted,Undrafted,2019
101,101,David Nwaba,193.04,99.336648,0,1,3,Undrafted,Undrafted,2019
102,102,Davis Bertans,208.28,102.0582,0,0,8,2,42,2019
103,103,Davon Reed,195.58,94.34713599999999,1,1,2,2,32,2019
104,104,DeAaron Fox,190.5,79.3786,1,1,2,1,5,2019
105,105,DeAnthony Melton,193.04,90.7184,1,1,1,2,46,2019
106,106,DeAndre Jordan,210.82,120.20188,1,1,11,2,35,2019
107,107,DeAndre Bembry,198.12,95.25432,0,1,3,1,21,2019
108,108,DeMar DeRozan,200.66,99.79024,1,1,10,1,9,2019
109,109,DeMarcus Cousins,210.82,122.46983999999999,1,1,9,1,5,2019
110,110,DeMarre Carroll,203.2,97.52228000000001,1,1,10,1,27,2019
111,111,DeVaughn Akoon-Purcell,198.12,90.7184,1,0,1,Undrafted,Undrafted,2019
112,112,Deandre Ayton,215.9,113.398,1,0,1,1,1,2019
113,113,Delon Wright,195.58,83.007336,1,1,4,1,20,2019
114,114,Demetrius Jackson,185.42,91.171992,1,1,3,2,45,2019
115,115,Deng Adel,200.66,90.7184,0,0,1,Undrafted,Undrafted,2019
116,116,Dennis Schroder,185.42,78.017824,0,0,6,1,17,2019
117,117,Dennis Smith Jr,190.5,88.45044,1,1,2,1,9,2019
118,118,Deonte Burton,195.58,111.13004,1,1,1,Undrafted,Undrafted,2019
119,119,Derrick Favors,208.28,120.20188,1,1,9,1,3,2019
120,120,Derrick Jones Jr,200.66,90.7184,1,1,3,Undrafted,Undrafted,2019
121,121,Derrick Rose,190.5,90.7184,1,1,11,1,1,2019
122,122,Derrick White,193.04,86.18248,1,1,2,1,29,2019
123,123,Devin Booker,198.12,95.25432,1,1,4,1,13,2019
124,124,Devin Harris,190.5,83.91452,1,1,15,1,5,2019
125,125,Devin Robinson,203.2,90.7184,1,1,2,Undrafted,Undrafted,2019
126,126,Devonte Graham,187.96,83.91452,1,1,1,2,34,2019
127,127,Dewayne Dedmon,213.36,111.13004,1,1,6,Undrafted,Undrafted,2019
128,128,Deyonta Davis,210.82,107.501304,1,1,3,2,31,2019
129,129,Dillon Brooks,198.12,99.79024,1,0,2,2,45,2019
130,130,Dion Waiters,193.04,97.52228000000001,1,1,7,1,4,2019
131,131,Dirk Nowitzki,213.36,111.13004,0,0,21,1,9,2019
132,132,Domantas Sabonis,210.82,108.86208,1,0,3,1,11,2019
133,133,Donatas Motiejunas,213.36,99.79024,0,0,8,1,20,2019
134,134,Donovan Mitchell,190.5,97.52228000000001,1,1,2,1,13,2019
135,135,Donte DiVincenzo,193.04,92.079176,1,1,1,1,17,2019
136,136,Donte Grantham,203.2,97.52228000000001,1,1,1,Undrafted,Undrafted,2019
137,137,Dorian Finney-Smith,203.2,99.79024,1,1,3,Undrafted,Undrafted,2019
138,138,Doug McDermott,203.2,102.0582,1,1,5,1,11,2019
139,139,Dragan Bender,215.9,102.0582,0,0,3,1,4,2019
140,140,Draymond Green,200.66,104.32616,1,1,7,2,35,2019
141,141,Drew Eubanks,208.28,111.13004,0,1,1,Undrafted,Undrafted,2019
142,142,Duncan Robinson,203.2,95.25432,1,1,1,Undrafted,Undrafted,2019
143,143,Dusty Hannahs,193.04,88.45044,1,1,1,Undrafted,Undrafted,2019
144,144,Dwayne Bacon,200.66,100.243832,1,1,2,2,40,2019
145,145,Dwight Howard,210.82,120.20188,0,1,15,1,1,2019
146,146,Dwight Powell,210.82,108.86208,1,0,5,2,45,2019
147,147,Dwyane Wade,193.04,99.79024,1,1,16,1,5,2019
148,148,Dzanan Musa,205.74,94.34713599999999,0,0,1,1,29,2019
149,149,ETwaun Moore,193.04,86.636072,1,1,8,2,55,2019
150,150,Ed Davis,208.28,102.0582,1,1,9,1,13,2019
151,151,Edmond Sumner,198.12,79.83219199999998,1,1,2,2,52,2019
152,152,Ekpe Udoh,208.28,111.13004,1,1,9,1,6,2019
153,153,Elfrid Payton,193.04,83.91452,1,1,5,1,10,2019
154,154,Elie Okobo,190.5,86.18248,0,0,1,2,31,2019
155,155,Emanuel Terry,205.74,99.79024,0,1,1,Undrafted,Undrafted,2019
156,156,Emmanuel Mudiay,195.58,90.7184,0,0,4,1,7,2019
157,157,Enes Kanter,210.82,113.398,1,0,8,1,3,2019
158,158,Eric Bledsoe,185.42,92.98635999999999,1,1,9,1,18,2019
159,159,Eric Gordon,193.04,97.52228000000001,1,1,11,1,7,2019
160,160,Eric Moreland,208.28,107.95489599999999,1,1,2,Undrafted,Undrafted,2019
161,161,Ersan Ilyasova,208.28,106.59411999999999,0,0,14,2,36,2019
162,162,Evan Fournier,200.66,92.98635999999999,0,0,7,1,20,2019
163,163,Evan Turner,200.66,99.79024,1,1,9,1,2,2019
164,164,Frank Jackson,190.5,92.98635999999999,1,1,2,2,31,2019
165,165,Frank Kaminsky,213.36,109.769264,1,1,4,1,9,2019
166,166,Frank Mason III,180.34,86.18248,1,1,2,2,34,2019
167,167,Frank Ntilikina,198.12,90.7184,0,0,2,1,8,2019
168,168,Fred VanVleet,182.88,88.45044,1,1,3,Undrafted,Undrafted,2019
169,169,Furkan Korkmaz,200.66,86.18248,0,0,3,1,26,2019
170,170,Garrett Temple,198.12,88.45044,1,1,7,Undrafted,Undrafted,2019
171,171,Gary Clark,203.2,102.0582,0,1,1,Undrafted,Undrafted,2019
172,172,Gary Harris,193.04,95.25432,1,1,5,1,19,2019
173,173,Gary Payton II,190.5,86.18248,1,1,3,Undrafted,Undrafted,2019
174,174,Gary Trent Jr,198.12,92.98635999999999,0,1,1,Undrafted,Undrafted,2019
175,175,George Hill,190.5,85.275296,0,1,11,1,26,2019
176,176,George King,198.12,99.79024,1,1,1,2,59,2019
177,177,Georges Niang,203.2,104.32616,1,1,3,2,50,2019
178,178,Gerald Green,200.66,92.98635999999999,0,1,14,1,18,2019
179,179,Giannis Antetokounmpo,210.82,109.769264,0,0,6,1,15,2019
180,180,Glenn Robinson III,198.12,100.697424,1,1,5,2,40,2019
181,181,Goran Dragic,190.5,86.18248,0,0,11,2,45,2019
182,182,Gordon Hayward,203.2,102.0582,1,1,9,1,9,2019
183,183,Gorgui Dieng,210.82,114.30518400000001,1,0,6,1,21,2019
184,184,Grayson Allen,195.58,89.811216,1,1,1,1,21,2019
185,185,Greg Monroe,210.82,120.20188,1,1,9,1,7,2019
186,186,Guerschon Yabusele,203.2,117.93392,0,0,3,1,16,2019
187,187,Hamidou Diallo,195.58,89.811216,1,1,1,2,45,2019
188,188,Harrison Barnes,203.2,102.0582,1,1,7,1,7,2019
189,189,Harry Giles,208.28,108.86208,1,1,2,1,20,2019
190,190,Hassan Whiteside,213.36,120.20188,1,1,9,2,33,2019
191,191,Haywood Highsmith,200.66,99.79024,0,1,1,Undrafted,Undrafted,2019
192,192,Henry Ellenson,210.82,111.13004,1,1,3,1,18,2019
193,193,Ian Clark,190.5,79.3786,1,1,6,Undrafted,Undrafted,2019
194,194,Ian Mahinmi,210.82,118.841104,0,0,14,1,28,2019
195,195,Ike Anigbogu,208.28,113.398,1,1,2,2,47,2019
196,196,Iman Shumpert,195.58,97.52228000000001,1,1,8,1,17,2019
197,197,Isaac Bonga,203.2,81.64656,0,0,1,2,39,2019
198,198,Isaac Humphries,213.36,117.93392,1,0,1,Undrafted,Undrafted,2019
199,199,Isaiah Briscoe,190.5,97.52228000000001,0,1,1,Undrafted,Undrafted,2019
200,200,Isaiah Canaan,182.88,90.7184,1,1,6,2,34,2019
201,201,Isaiah Hartenstein,213.36,112.94440800000001,0,0,2,2,43,2019
202,202,Isaiah Hicks,205.74,104.32616,1,1,2,Undrafted,Undrafted,2019
203,203,Isaiah Thomas,175.26,83.91452,1,1,8,2,60,2019
204,204,Ish Smith,182.88,79.3786,1,1,9,Undrafted,Undrafted,2019
205,205,Ivan Rabb,208.28,99.79024,1,1,2,2,35,2019
206,206,Ivica Zubac,215.9,108.86208,0,0,3,2,32,2019
207,207,JJ Barea,182.88,83.91452,1,0,13,Undrafted,Undrafted,2019
208,208,JP Macura,195.58,92.98635999999999,1,1,1,Undrafted,Undrafted,2019
209,209,JJ Redick,193.04,90.7184,1,1,13,1,11,2019
210,210,JR Smith,198.12,102.0582,0,1,15,1,18,2019
211,211,JaKarr Sampson,205.74,97.52228000000001,1,1,2,Undrafted,Undrafted,2019
212,212,JaMychal Green,205.74,102.965384,1,1,5,Undrafted,Undrafted,2019
213,213,JaVale McGee,213.36,122.46983999999999,1,1,11,1,18,2019
214,214,Jabari Parker,203.2,111.13004,1,1,5,1,2,2019
215,215,Jacob Evans,198.12,95.25432,1,1,1,1,28,2019
216,216,Jae Crowder,198.12,106.59411999999999,1,1,7,2,34,2019
217,217,Jahlil Okafor,210.82,124.7378,1,1,4,1,3,2019
218,218,Jake Layman,205.74,97.52228000000001,1,1,3,2,47,2019
219,219,Jakob Poeltl,213.36,104.32616,1,0,3,1,9,2019
220,220,Jalen Brunson,190.5,86.18248,1,1,1,2,33,2019
221,221,Jalen Jones,200.66,99.79024,1,1,2,Undrafted,Undrafted,2019
222,222,Jamal Crawford,195.58,83.91452,1,1,19,1,8,2019
223,223,Jamal Murray,193.04,93.89354399999999,1,0,3,1,7,2019
224,224,James Ennis,200.66,95.25432,1,1,6,2,50,2019
225,225,James Harden,195.58,99.79024,1,1,10,1,3,2019
226,226,James Johnson,203.2,108.86208,1,1,10,1,16,2019
227,227,James Nunnally,200.66,94.34713599999999,1,1,1,Undrafted,Undrafted,2019
228,228,Jared Dudley,200.66,107.501304,1,1,12,1,22,2019
229,229,Jared Terrell,190.5,102.965384,1,1,1,Undrafted,Undrafted,2019
230,230,Jarell Martin,208.28,108.40848799999999,1,1,4,1,25,2019
231,231,Jaren Jackson Jr,210.82,109.769264,1,1,1,1,4,2019
232,232,Jaron Blossomgame,203.2,99.79024,1,1,2,2,59,2019
233,233,Jarred Vanderbilt,205.74,97.068688,1,1,1,2,41,2019
234,234,Jarrett Allen,210.82,107.501304,1,1,2,1,22,2019
235,235,Jason Smith,213.36,108.86208,1,1,12,1,20,2019
236,236,Jawun Evans,182.88,86.18248,1,1,2,2,39,2019
237,237,Jaylen Adams,187.96,86.18248,1,1,1,Undrafted,Undrafted,2019
238,238,Jaylen Brown,200.66,99.79024,1,1,3,1,3,2019
