,Player,Height,Weight,College,USA,YearsPro,DraftRound,DraftNum,Season
284,Landry Fields,200.66,97.52228,1,1,4,2,39,2014
285,Larry Sanders,210.82,106.59412,1,1,4,1,15,2014
286,Lavoy Allen,205.74,115.66596,1,1,3,2,50,2014
287,LeBron James,203.2,113.398,0,1,11,1,1,2014
288,Leandro Barbosa,190.5,87.996848,0,0,11,1,28,2014
289,Lorenzo Brown,195.58,88.45044,1,1,1,2,52,2014
290,Lou Amundson,205.74,102.0582,1,1,8,Undrafted,Undrafted,2014
291,Lou Williams,185.42,79.3786,0,1,9,2,45,2014
292,Luc Mbah a Moute,203.2,104.32616,1,0,6,2,37,2014
293,Luis Scola,205.74,108.86208,0,0,12,2,55,2014
294,Luke Babbitt,205.74,102.0582,1,1,4,1,16,2014
295,Luke Ridnour,187.96,79.3786,1,1,11,1,14,2014
296,Luol Deng,205.74,99.79024,1,0,10,1,7,2014
297,Maalik Wayns,185.42,88.45044,1,1,2,Undrafted,Undrafted,2014
298,Malcolm Thomas,205.74,102.0582,1,1,3,Undrafted,Undrafted,2014
299,Manny Harris,195.58,83.91452,1,1,1,Undrafted,Undrafted,2014
300,Manu Ginobili,198.12,92.98636,0,0,15,2,57,2014
301,MarShon Brooks,195.58,90.7184,1,1,3,1,25,2014
302,Marc Gasol,215.9,120.20188,0,0,7,2,48,2014
303,Marcin Gortat,210.82,108.86208,0,0,9,2,57,2014
304,Marco Belinelli,195.58,95.25431999999999,0,0,7,1,18,2014
305,Marcus Morris,205.74,106.59412,1,1,3,1,14,2014
306,Marcus Thornton,193.04,92.98636,1,1,5,2,43,2014
307,Mario Chalmers,187.96,86.18248,1,1,6,2,34,2014
308,Markieff Morris,208.28,111.13004,1,1,3,1,13,2014
