,Player,PG%,SG%,SF%,PF%,C%,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
228,Othyus Jeffers,28,63,10,0.0,0.0,SG,28,TOT,6,1,7.8,0.5,1.0,.500,0.0,0.3,.000,0.5,0.7,.750,.500,0.5,0.7,.750,0.2,1.3,1.5,0.2,0.0,0.0,0.2,0.5,1.5,6.9,.580,.333,.667,2.5,18.7,10.7,0.0,0.0,11.4,8.3,0.0,0.0,0.1,.082,-2.9,-0.3,-3.2,0.0
229,Al Jefferson,0.0,0.0,0.0,31,69,C,29,CHA,73,73,35.0,9.6,18.8,.509,0.0,0.2,.200,9.5,18.6,.512,.510,2.6,3.8,.690,2.1,8.7,10.8,2.1,0.9,1.1,1.7,2.4,21.8,22.7,.532,.011,.201,6.9,28.3,17.5,1.4,2.4,7.6,29.3,3.1,4.7,7.8,.146,2.2,0.5,2.7,3.0
230,Richard Jefferson,0.0,71,29,0.0,0.0,SF,33,UTA,82,78,27.0,3.6,8.0,.450,1.5,3.7,.409,2.1,4.3,.484,.544,1.5,2.0,.741,0.2,2.5,2.7,1.6,0.7,0.2,1.1,2.0,10.1,11.8,.573,.460,.248,0.9,10.8,5.7,1.3,0.5,11.5,16.9,2.3,0.4,2.7,.058,-0.6,-0.9,-1.4,0.3
231,John Jenkins,0.0,83,17,0.0,0.0,SG,22,ATL,13,0,12.2,1.2,3.2,.381,0.3,1.4,.222,0.9,1.8,.500,.429,0.3,0.3,1.000,0.2,1.5,1.7,0.8,0.1,0.1,0.8,0.8,3.1,4.7,.457,.429,.095,2.2,13.8,8.1,0.3,0.5,20.1,15.8,-0.2,0.1,-0.1,-0.043,-4.7,-1.6,-6.3,-0.2
232,Brandon Jennings,100,0.0,0.0,0.0,0.0,PG,24,DET,80,79,34.1,5.3,14.2,.373,1.9,5.7,.337,3.4,8.5,.397,.441,3.0,4.0,.751,0.7,2.3,3.1,7.6,1.3,0.1,2.7,2.0,15.5,15.6,.486,.403,.283,2.2,7.8,4.9,1.9,0.2,14.4,23.4,3.0,0.9,3.9,.068,1.9,-1.9,0.1,1.4
233,Jonas Jerebko,0.0,0.0,9,79,12,PF,26,DET,64,0,11.6,1.5,3.3,.471,0.5,1.2,.419,1.0,2.1,.500,.546,0.7,0.9,.729,0.8,1.9,2.7,0.6,0.3,0.1,0.7,1.3,4.2,13.4,.577,.356,.284,7.2,19.3,12.9,1.4,0.6,15.5,16.0,1.0,0.5,1.4,.092,-0.8,-0.7,-1.5,0.1
234,Amir Johnson,0.0,0.0,2,84,14,PF,26,TOR,77,72,28.8,4.5,7.9,.562,0.3,0.9,.303,4.2,7.1,.593,.578,1.2,1.9,.636,2.2,4.3,6.6,1.5,0.7,1.1,1.6,3.5,10.4,15.4,.592,.108,.234,9.0,17.6,13.3,1.3,3.2,15.4,16.4,3.2,3.1,6.3,.136,-0.4,1.1,0.7,1.5
235,Chris Johnson,2,56,42,0.0,0.0,SF,23,BOS,40,0,19.7,2.1,5.4,.397,1.1,3.2,.339,1.1,2.2,.483,.498,0.9,1.1,.860,0.8,1.7,2.4,0.8,0.7,0.1,0.6,1.6,6.3,10.8,.537,.593,.201,4.3,9.8,7.0,1.8,0.4,8.6,14.3,0.9,0.5,1.4,.085,-1.2,0.0,-1.2,0.2
236,James Johnson,0.0,0.0,78,22,0.0,SF,26,MEM,52,4,18.4,2.8,5.9,.464,0.4,1.7,.253,2.3,4.3,.548,.500,1.5,1.7,.844,1.2,2.0,3.2,2.1,0.8,1.1,1.3,2.0,7.4,18.5,.552,.282,.292,7.4,13.2,10.3,2.3,5.0,16.0,20.0,1.4,1.6,3.0,.150,1.6,2.9,4.5,1.6
237,Joe Johnson,1,61,38,1,0.0,SG,32,BRK,79,79,32.6,5.8,12.9,.454,2.1,5.1,.401,3.8,7.8,.489,.533,2.0,2.5,.815,0.6,2.8,3.4,2.7,0.6,0.1,1.5,1.6,15.8,15.5,.564,.397,.192,2.2,10.3,6.3,1.0,0.3,9.8,22.3,3.9,1.0,4.9,.091,2.0,-1.8,0.2,1.4
