,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,BPM,VORP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
33,Brandon Bass,PF,25,ORL,76,51,26.1,4.4,8.5,.515,0.0,0.0,.000,4.4,8.5,.516,.515,2.5,3.1,.815,1.8,3.8,5.6,0.8,0.4,0.7,1.3,2.1,11.2,15.9,.571,.003,.361,8.1,16.7,12.5,5.0,0.7,2.0,11.5,19.8,3.2,3.1,6.3,.153,-0.3,0.2,1.1,,,11%,85%,4%,5.4,-1.3,28,32,77,17,114,3,141,23,47
34,Tony Battie,C,34,PHI,38,0,9.9,1.2,2.5,.469,0.1,0.1,.667,1.1,2.4,.462,.479,0.2,0.4,.571,0.4,2.2,2.6,0.3,0.1,0.4,0.3,1.6,2.6,9.5,.489,.031,.146,5.2,25.1,15.1,4.8,0.7,3.0,10.5,13.9,0.0,0.6,0.6,.075,-4.1,-3.3,-0.1,,,,3%,98%,-5.7,-8.1,6,2,40,0,6,2,26,2,1
35,Shane Battier,SF,32,TOT,82,59,29.0,2.8,6.2,.450,1.2,3.3,.382,1.5,3.0,.525,.550,0.8,1.1,.688,1.1,3.5,4.5,2.3,0.8,1.0,1.0,1.9,7.6,12.3,.567,.525,.183,4.4,13.7,9.0,11.1,1.5,2.4,12.6,11.7,2.9,2.2,5.1,.103,0.6,1.4,2.0,,,89%,11%,,3.7,1.9,44,14,83,13,31,13,418,5,14
36,Nicolas Batum,SF,22,POR,80,67,31.5,4.6,10.1,.455,1.5,4.3,.345,3.1,5.8,.535,.528,1.7,2.1,.841,1.4,3.2,4.5,1.5,0.9,0.6,1.0,2.4,12.4,14.8,.563,.424,.203,5.1,12.8,8.8,8.1,1.5,1.6,8.6,17.8,4.4,2.3,6.6,.126,1.1,1.1,2.0,,,85%,14%,,0.6,-2.6,37,14,70,18,62,24,281,18,41
37,Jerryd Bayless,PG,22,TOT,71,14,21.1,3.1,7.3,.422,0.7,2.1,.336,2.4,5.2,.456,.469,2.3,2.9,.806,0.4,2.0,2.3,3.7,0.5,0.1,1.8,2.1,9.2,14.1,.536,.282,.398,2.0,11.3,6.6,27.6,1.3,0.3,17.3,22.1,1.4,0.3,1.6,.053,0.1,-1.8,0.1,88%,12%,,,,-9.2,-7.5,73,26,57,11,84,6,590,21,42
38,Michael Beasley,SF,22,MIN,73,73,32.3,7.7,17.1,.450,0.8,2.2,.366,6.9,14.8,.463,.474,3.0,4.0,.753,1.6,4.0,5.6,2.2,0.7,0.7,2.7,3.0,19.2,15.5,.510,.132,.234,5.4,14.1,9.6,12.3,1.1,1.7,12.4,28.3,0.7,1.0,1.7,.035,0.0,-1.8,0.1,,,57%,41%,2%,-5.8,3.0,74,61,112,30,145,8,356,43,81
39,Rodrigue Beaubois,PG,22,DAL,28,26,17.7,3.4,8.0,.422,0.9,3.0,.301,2.5,5.0,.493,.478,0.8,1.1,.767,0.3,1.6,1.9,2.3,0.7,0.3,1.7,2.7,8.4,11.4,.500,.372,.135,1.7,10.2,6.1,21.9,2.1,1.2,16.6,26.7,-0.4,0.7,0.2,.022,-3.2,-2.7,-0.1,100%,,,,,-0.8,-6.4,18,14,31,8,14,2,149,4,16
40,Marco Belinelli,SG,24,NOH,80,69,24.5,3.8,8.6,.437,1.7,4.1,.414,2.1,4.6,.458,.534,1.2,1.6,.784,0.2,1.7,1.9,1.2,0.5,0.1,1.0,1.8,10.5,12.1,.560,.469,.181,1.1,8.4,4.7,8.0,1.1,0.3,9.4,20.0,1.9,1.5,3.4,.084,0.2,-0.6,0.7,,79%,21%,,,1.2,0.9,33,20,66,13,47,14,199,9,26
41,Charlie Bell,SG,31,GSW,19,0,9.0,0.6,2.3,.279,0.3,1.1,.286,0.3,1.2,.273,.349,0.1,0.2,.500,0.3,0.6,0.9,0.7,0.3,0.1,0.3,0.7,1.7,4.7,.357,.488,.093,3.9,8.1,6.0,10.1,1.8,0.4,11.8,13.1,-0.2,0.0,-0.1,-0.040,-4.2,-5.0,-0.1,10%,83%,7%,,,2.0,4.9,2,3,3,0,0,3,31,0,3
42,Raja Bell,SG,34,UTA,68,63,30.8,2.8,6.9,.409,1.0,2.8,.352,1.8,4.0,.449,.482,1.3,1.5,.892,0.5,2.1,2.6,1.7,0.8,0.2,0.9,2.5,8.0,8.2,.528,.413,.218,1.8,8.4,5.1,8.3,1.4,0.5,11.0,12.6,1.2,0.5,1.7,.040,-2.4,-3.1,-0.6,,97%,3%,,,-5.4,-7.3,30,10,66,20,26,27,260,1,19
